mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2626642227172852,0.006974850849680059,0.010513401031494141,0.00203018186796612,10,2,10,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.6098484848484849,0.5708661417322834,0.5577689243027888,0.5200764818355641,0.5437262357414449,0.5604572536921132,0.029885111603193647,7
0.5248121738433837,0.01888959758514323,0.021706628799438476,0.0021628542611045105,10,2,10,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.6078799249530957,0.5803921568627451,0.5526838966202783,0.5320754716981132,0.54510556621881,0.5636274032706085,0.027194432554472188,1
0.2605171203613281,0.010111124757957154,0.010826873779296874,0.002074806566150247,10,4,2,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.5984848484848485,0.5685884691848907,0.549800796812749,0.5190839694656488,0.5183752417794971,0.5508666651455268,0.030491054869518707,47
0.5162471294403076,0.01860738831811292,0.02451176643371582,0.002430486039658184,10,4,2,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.6011342155009451,0.5736738703339882,0.5381526104417671,0.523719165085389,0.5325670498084292,0.5538493822341037,0.029106776149555872,33
0.2586652755737305,0.005774488542408865,0.01208181381225586,0.002044260222372998,10,4,5,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.5984848484848485,0.5685884691848907,0.549800796812749,0.5190839694656488,0.5183752417794971,0.5508666651455268,0.030491054869518707,47
0.5073170185089111,0.018045664845957616,0.021203327178955077,0.001636136164565163,10,4,5,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.6011342155009451,0.5736738703339882,0.5381526104417671,0.523719165085389,0.5325670498084292,0.5538493822341037,0.029106776149555872,33
0.2655473709106445,0.015302744540308234,0.011565780639648438,0.0021649438596084156,10,4,10,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.6072106261859582,0.5748031496062992,0.5429141716566867,0.539622641509434,0.5240847784200385,0.5577270734756834,0.029729483340885668,15
0.5323838710784912,0.01852689430520537,0.024700117111206055,0.0017561043798879931,10,4,10,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.6098484848484849,0.5793650793650794,0.5373737373737374,0.523719165085389,0.5281553398058253,0.5556923612957032,0.033494561080533634,23
0.3201610565185547,0.008974675695836674,0.014066028594970702,0.001379232117163368,20,1,2,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.5974025974025974,0.5708812260536399,0.5384615384615384,0.5397412199630314,0.5094339622641509,0.5511841088289915,0.030199348845725976,45
0.6570333480834961,0.01017999115746816,0.03249940872192383,0.005138647412154003,20,1,2,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.608058608058608,0.566990291262136,0.5394990366088632,0.5474452554744526,0.5261194029850746,0.5576225188778269,0.028481705925675213,17
0.3220818519592285,0.0132476524010847,0.013632440567016601,0.0032455948148203536,20,1,5,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.6018691588785047,0.5546875,0.5291828793774319,0.5313653136531366,0.5131086142322098,0.5460426932282566,0.03090520766703752,54
0.6402384281158447,0.026520795341176923,0.02996659278869629,0.0036952649110720856,20,1,5,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.6067415730337079,0.5680933852140078,0.5291828793774319,0.5315985130111525,0.5189393939393939,0.5509111489151388,0.032494781797641675,46
0.3018983840942383,0.01279118883248014,0.013680982589721679,0.002120747889960934,20,1,10,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.6078799249530957,0.570873786407767,0.52465483234714,0.5227272727272727,0.5361216730038023,0.5524514978878156,0.03266355338465422,41
0.5777057647705078,0.012552023147801685,0.02942214012145996,0.003082587652246192,20,1,10,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.6019047619047619,0.5680933852140078,0.5433070866141733,0.5310734463276836,0.5335892514395394,0.5555935863000332,0.026598330963535352,24
0.3189910888671875,0.009666665900915921,0.012748527526855468,0.0022946138045192134,20,2,2,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.608534322820037,0.5568627450980392,0.5281553398058253,0.5306122448979592,0.5182341650671785,0.5484797635378079,0.03263112354685635,52
0.6194486618041992,0.021198289771821397,0.02525930404663086,0.001255259137008895,20,2,2,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.6156716417910447,0.5857418111753372,0.5408560311284046,0.5231910946196661,0.524904214559387,0.5580729586547679,0.036596465172785406,14
0.3045609951019287,0.015555015922545235,0.013429212570190429,0.002527471920101411,20,2,5,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6203007518796992,0.5822306238185255,0.5465116279069767,0.5414364640883977,0.5163776493256262,0.561371423403845,0.03619510416471821,6
