mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.07107276916503906,0.004059988036810697,0.0026845932006835938,0.00100018247220148,1.0,0.01,3,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.5267665952890792,0.5185185185185185,0.5161290322580645,0.4625267665952891,0.4682713347921225,0.4984424494906148,0.02727032611760571,60
0.08836784362792968,0.016636779691942768,0.0023333549499511717,0.0005565187371490675,1.0,0.01,6,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",0.4655581947743468,0.4519230769230769,0.3793103448275862,0.4341801385681293,0.36585365853658536,0.4193650827259449,0.03970180603787068,65
0.0770331859588623,0.01114305025185,0.0031920909881591798,0.0010714058192900582,1.0,0.01,6,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",0.4655581947743468,0.4364508393285372,0.36855036855036855,0.44545454545454544,0.36855036855036855,0.41691286333163324,0.04059702008415919,66
0.167297887802124,0.010054157567026026,0.004351902008056641,0.0018900215942214008,1.0,0.01,6,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",0.5866141732283464,0.5551020408163265,0.5157232704402516,0.5089463220675944,0.52465483234714,0.5382081277799318,0.028893125251021695,55
0.15491394996643065,0.015790438674627715,0.004663610458374023,0.002164897973609514,1.0,0.01,6,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0}",0.5810276679841897,0.5564516129032258,0.5360824742268041,0.5177865612648221,0.5330739299610895,0.5448844492680263,0.021869568806393628,48
0.18155241012573242,0.013216212274735756,0.004218626022338867,0.0015715341310084821,1.0,0.01,9,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100, 'subsample': 0.8}",0.5045045045045045,0.42685851318944845,0.39618138424821003,0.4510250569476082,0.3855421686746988,0.43282232551289396,0.0426220907077662,63
0.17822632789611817,0.009886602799955015,0.003690481185913086,0.0014122633920850434,1.0,0.01,9,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100, 'subsample': 1.0}",0.5089285714285714,0.463302752293578,0.39036144578313253,0.45535714285714285,0.3804878048780488,0.4396875434480947,0.048031671525909155,61
0.32207722663879396,0.031582542912280485,0.006807088851928711,0.002400565889860537,1.0,0.01,9,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200, 'subsample': 0.8}",0.5938697318007663,0.5461847389558233,0.5555555555555556,0.5097276264591439,0.5059288537549407,0.542253301305246,0.03235443425952113,53
0.33765015602111814,0.0207926431763978,0.008613204956054688,0.0012658635618018853,1.0,0.01,9,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200, 'subsample': 1.0}",0.6030534351145038,0.5483234714003945,0.5336048879837068,0.5183752417794971,0.515625,0.5437964072556204,0.031861012433491924,51
0.04092297554016113,0.006639984042800901,0.0026290416717529297,0.000807337455056747,1.0,0.1,3,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.6273062730627307,0.5923076923076923,0.5927342256214149,0.5688073394495413,0.5488721804511278,0.5860055421785015,0.02632644062147297,1
0.03847460746765137,0.006339474354077584,0.0025968551635742188,0.000768480104975244,1.0,0.1,3,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.6373626373626373,0.5675675675675675,0.6019047619047619,0.5545286506469501,0.5413533834586466,0.5805434001881127,0.0348302464091946,4
0.0769831657409668,0.0034051241330497277,0.002513551712036133,0.0008528279511533448,1.0,0.1,3,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.6204379562043796,0.5670498084291188,0.5653846153846154,0.5703971119133574,0.5423728813559322,0.5731284746574806,0.025645551058849858,7
0.0647402286529541,0.003558345573535057,0.0029540061950683594,0.0012598795276045512,1.0,0.1,3,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.6062846580406654,0.5527831094049904,0.5871212121212122,0.5614678899082569,0.5461393596986818,0.5707592458347613,0.022562705610837556,8
0.08155860900878906,0.006194798647257527,0.0023546695709228517,0.0007992142331577792,1.0,0.1,6,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",0.6115107913669064,0.5783582089552238,0.5437262357414449,0.5363128491620112,0.5464684014869888,0.563275297342515,0.02809187881278567,18
0.06641035079956055,0.0032063594214139803,0.002716827392578125,0.0009993889886072394,1.0,0.1,6,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",0.6142857142857143,0.574108818011257,0.5827067669172933,0.5424354243542435,0.5373134328358209,0.5701700312808657,0.028169635251677042,9
0.13771634101867675,0.01708706993543957,0.0036380767822265627,0.0016766415324747325,1.0,0.1,6,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",0.599640933572711,0.5661080074487895,0.5375939849624061,0.5517241379310345,0.5249537892791127,0.5560041706388108,0.025797807646519514,32
0.13089170455932617,0.007503900009017695,0.0036336898803710936,0.0014372480511832925,1.0,0.1,6,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0}",0.6115107913669064,0.5708884688090737,0.5514705882352942,0.5428051001821493,0.5597014925373134,0.5672752882261474,0.023982392865961655,14
0.13419761657714843,0.021050916973597057,0.003714323043823242,0.0011284960803449743,1.0,0.1,9,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100, 'subsample': 0.8}",0.605072463768116,0.5644859813084112,0.5434380776340111,0.5211009174311927,0.5397412199630314,0.5547677320209525,0.0286796859925032,36
0.11950454711914063,0.017745135363123422,0.004636430740356445,0.0010074044828564483,1.0,0.1,9,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100, 'subsample': 1.0}",0.6035087719298246,0.5827067669172933,0.5522388059701493,0.5415162454873647,0.5274725274725275,0.5614886235554318,0.027775717023712194,20
0.23491353988647462,0.018403191480820962,0.005825424194335937,0.0019475158995848514,1.0,0.1,9,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200, 'subsample': 0.8}",0.5935251798561151,0.5488721804511278,0.5357798165137615,0.555956678700361,0.5374771480804388,0.5543222007203609,0.020961028709619328,37
0.19763660430908203,0.009074490161269723,0.004729413986206054,0.0008151673488374015,1.0,0.1,9,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200, 'subsample': 1.0}",0.5950704225352113,0.5602968460111317,0.5555555555555556,0.5490196078431373,0.5284403669724771,0.5576765597835026,0.021630364385856055,28
0.038134527206420896,0.007622467385205457,0.002028226852416992,0.0005823525360423045,1.0,0.2,3,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.6069469835466179,0.5752380952380952,0.5647969052224371,0.5401459854014599,0.518796992481203,0.5611849923779626,0.0301465679635963,21
0.040016555786132814,0.005758503440737052,0.0016088008880615235,5.534093255746267e-05,1.0,0.2,3,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.6165137614678899,0.549407114624506,0.5938697318007663,0.5451197053406999,0.5410447761194029,0.569191017870653,0.03036946763478608,12
0.06762127876281739,0.006807890377338384,0.0024211883544921877,0.0007639123911815816,1.0,0.2,3,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.6093189964157706,0.5578747628083491,0.5884543761638734,0.568904593639576,0.5185185185185185,0.5686142495092176,0.030579438138082178,13
0.0655862808227539,0.004897951645203178,0.0025484561920166016,0.0008391281490002011,1.0,0.2,3,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.6094890510948905,0.5478927203065134,0.5551330798479087,0.5477941176470589,0.5333333333333333,0.5587284604459409,0.026349383000567942,26
0.07659058570861817,0.00601693318412581,0.002708721160888672,0.0009545314441795205,1.0,0.2,6,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",0.6232394366197183,0.575139146567718,0.5434380776340111,0.5311942959001783,0.5321100917431193,0.561024209692949,0.0349430620267409,22
