mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.3994203567504884,0.07554925656698273,0.1880425453186035,0.011357783401005881,10.0,scale,rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.6382978723404256,0.5653021442495126,0.5880149812734082,0.5714285714285714,0.5698924731182796,0.5865872084820395,0.026972518300619662,2
2.1666003704071044,0.05727598960980235,0.188721227645874,0.0171399162856003,10.0,auto,rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.6159695817490495,0.5679012345679012,0.5203252032520326,0.5447470817120622,0.55893536121673,0.5615756924995552,0.03159267011072231,6
1.9478995323181152,0.05998515774641604,0.1831974983215332,0.0066767148809559985,10.0,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.5679513184584178,0.5450733752620545,0.5088757396449705,0.5292929292929293,0.5410821643286573,0.5384551053974058,0.01938872800807721,10
2.5075056076049806,0.01955851094966345,0.20543713569641114,0.012776537207620505,10.0,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.6215277777777778,0.5643939393939394,0.5928571428571429,0.5815602836879432,0.5638297872340425,0.5848337861901692,0.021356471612470795,3
4.01660737991333,0.0912540053058886,0.3242237091064453,0.01721521195041796,10.0,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.50199203187251,0.47401247401247404,0.4787018255578093,0.4729458917835671,0.45621181262729127,0.47677280717073034,0.01472922009908839,18
4.484384632110595,0.07598195956323889,0.20475735664367675,0.012198348735539368,100.0,scale,rbf,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.6112852664576802,0.525,0.5819397993311036,0.543046357615894,0.5161290322580645,0.5554800911325486,0.0359067494217344,8
3.588875961303711,0.058339702270115576,0.19122400283813476,0.017012323206869965,100.0,auto,rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",0.6287744227353463,0.5680933852140078,0.6007462686567164,0.5652173913043478,0.5714285714285714,0.586852007867798,0.024529020773389972,1
2.756104040145874,0.052003288279099245,0.18610725402832032,0.010321772973673569,100.0,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.6098484848484849,0.5813008130081301,0.5222672064777328,0.5408560311284046,0.5621414913957935,0.5632828053717092,0.030592656823176544,5
4.4937066555023195,0.1256392073721364,0.19787378311157228,0.007560353960239004,100.0,0.1,rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.5665101721439749,0.5244755244755245,0.556836902800659,0.5307443365695793,0.5126475548060708,0.5382428981591617,0.020227043246904882,11
3.848660135269165,0.07533328572113518,0.23735604286193848,0.02013929431438145,100.0,1,rbf,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.5088062622309197,0.463768115942029,0.4529058116232465,0.47035573122529645,0.45585215605749485,0.4703376154157973,0.020182624980849474,19
